,app,link,rated,valorations,gender,last_update,size,installs,current_version_app,android_version_req,classification
32,Shazam,https://play.google.com/store/apps/details?id=com.shazam.android,4.4,4044543,Música y audio,10 de mayo de 2021,0.0,500000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
33,SoundCloud Música,https://play.google.com/store/apps/details?id=com.soundcloud.android,4.6,4782418,Música y audio,18 de mayo de 2021,84.0,100000000,2021.05.18-release,6.0,Adolescentes
34,PUBG MOBILE - Travesía,https://play.google.com/store/apps/details?id=com.tencent.ig,4.3,37120068,Acción,10 de mayo de 2021,0.0,100000000,1.4.0,Varía con el dispositivo.,Adolescentes
35,Instagram,https://play.google.com/store/apps/details?id=com.instagram.android,3.8,119188471,Social,17 de mayo de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
36,ROBLOX,https://play.google.com/store/apps/details?id=com.roblox.client,4.4,21571591,Aventura,20 de mayo de 2021,95.0,100000000,2.478.422478,4.4,Para mayores de 10 años
37,CapCut - Video Editor,https://play.google.com/store/apps/details?id=com.lemon.lvoverseas,4.5,1531437,Aplicaciones de video,20 de mayo de 2021,70.0,100000000,3.4.0,5.0,Todos
38,Talking Tom: ¡A por el oro!,https://play.google.com/store/apps/details?id=com.outfit7.talkingtomgoldrun,4.4,4685245,Acción,18 de mayo de 2021,103.0,100000000,5.1.0.911,5.0,Todos
39,Grabar Pantalla & Grabador Pantalla - XRecorder,https://play.google.com/store/apps/details?id=videoeditor.videorecorder.screenrecorder,4.7,3492787,Aplicaciones de video,19 de mayo de 2021,0.0,100000000,1.5.0.1,5.0,Todos
40,Mi Talking Tom: Amigos,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfriends,4.3,1838064,Juegos ocasionales,9 de abril de 2021,114.0,100000000,1.6.5.33,5.0,Todos
41,Talking Tom Hero Dash,https://play.google.com/store/apps/details?id=com.outfit7.herodash,4.3,959241,Acción,23 de abril de 2021,121.0,100000000,2.5.0.894,5.0,Todos
42,Reproductor de Música - Lark Player - MP3 Player,https://play.google.com/store/apps/details?id=com.dywx.larkplayer,4.7,2194529,Música y audio,19 de mayo de 2021,13.0,100000000,5.5.13,4.3,Adolescentes
43,Super Bino Go: Nuevo Juego Gratuito De Aventuras,https://play.google.com/store/apps/details?id=com.superbinogo.jungleboyadventure,4.1,301518,Aventura,10 de mayo de 2021,18.0,100000000,1.4.0,4.1,Todos
44,Google Play Juegos,https://play.google.com/store/apps/details?id=com.google.android.play.games,4.3,11941388,Entretenimiento,26 de abril de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
45,Amazon Prime Video,https://play.google.com/store/apps/details?id=com.amazon.avod.thirdpartyclient,4.3,2690831,Entretenimiento,18 de mayo de 2021,28.0,100000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
46,Wattpad – Donde las historias viven.,https://play.google.com/store/apps/details?id=wp.wattpad,4.0,4195240,Libros y referencias,19 de mayo de 2021,0.0,100000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
47,SoundCloud Música,https://play.google.com/store/apps/details?id=com.soundcloud.android,4.6,4782417,Música y audio,18 de mayo de 2021,84.0,100000000,2021.05.18-release,6.0,Adolescentes
48,ZEDGE™ Fondos de pantalla y Tonos de llamadas,https://play.google.com/store/apps/details?id=net.zedge.android,4.4,8759375,Personalización,19 de mayo de 2021,32.0,100000000,7.8.3,5.0,Adolescentes
49,Parallel Space－Multi Cuentas,https://play.google.com/store/apps/details?id=com.lbe.parallel.intl,4.5,4729631,Personalización,24 de marzo de 2021,11.0,100000000,4.0.9078,Varía con el dispositivo.,Todos
50,Fonts - Teclado de Fuentes y Emoji,https://play.google.com/store/apps/details?id=com.fontskeyboard.fonts,4.6,527160,Personalización,7 de mayo de 2021,4.3,10000000,4.4.0.11426,6.0,Todos
51,Traductor de Google,https://play.google.com/store/apps/details?id=com.google.android.apps.translate,4.5,7879789,Herramientas,18 de marzo de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
52,Grabar Pantalla & Grabador Pantalla - XRecorder,https://play.google.com/store/apps/details?id=videoeditor.videorecorder.screenrecorder,4.7,3492808,Aplicaciones de video,19 de mayo de 2021,0.0,100000000,1.5.0.1,5.0,Todos
53,"CamScanner Escáner PDF, Escáner de documentos",https://play.google.com/store/apps/details?id=com.intsig.camscanner,4.7,3304656,Productividad,10 de mayo de 2021,0.0,100000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
54,"Waze - GPS, Mapas, Alertas y Navegación en Vivo",https://play.google.com/store/apps/details?id=com.waze,4.1,8270466,Mapas y navegación,6 de abril de 2021,87.0,100000000,4.73.0.3,4.4,Todos
55,Microsoft Word: Crea & Edita Documentos,https://play.google.com/store/apps/details?id=com.microsoft.office.word,4.4,5998345,Productividad,20 de mayo de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
56,"Xender - Compartir música, video, guardar estado",https://play.google.com/store/apps/details?id=cn.xender,4.5,3080029,Herramientas,29 de marzo de 2021,0.0,100000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
57,"Truecaller: ID de llamadas, bloqueador de spam",https://play.google.com/store/apps/details?id=com.truecaller,4.5,15023666,Comunicación,10 de mayo de 2021,98.0,500000000,11.59.8,5.1,Todos
58,Calculadora de bloqueo - Bloquear Video y  foto,https://play.google.com/store/apps/details?id=com.flatfish.cal.privacy,4.6,945000,Herramientas,10 de mayo de 2021,28.0,50000000,3.2.5.34,4.2,Todos
59,Escáner QR y Código Barras,https://play.google.com/store/apps/details?id=com.gamma.scan,4.7,1545330,Herramientas,26 de abril de 2021,6.0,100000000,2.2.8,4.1,Todos
60,Lector de códigos QR y barras (español),https://play.google.com/store/apps/details?id=com.teacapps.barcodescanner,4.6,648496,Productividad,12 de mayo de 2021,0.0,100000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
61,Google Meet: Videoconferencias seguras,https://play.google.com/store/apps/details?id=com.google.android.apps.meetings,3.7,1403971,Negocios,19 de mayo de 2021,0.0,100000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
62,Messenger Lite: llamadas y mensajes gratis,https://play.google.com/store/apps/details?id=com.facebook.mlite,3.9,4583327,Comunicación,20 de mayo de 2021,0.0,500000000,140.0.0.5.118,4.0,Todos
63,"Discord - Habla, chatea y pasa el rato",https://play.google.com/store/apps/details?id=com.discord,4.5,3127200,Comunicación,20 de mayo de 2021,92.0,100000000,74.10,5.0,Adolescentes
64,"Truecaller: ID de llamadas, bloqueador de spam",https://play.google.com/store/apps/details?id=com.truecaller,4.5,15023679,Comunicación,10 de mayo de 2021,98.0,500000000,11.59.8,5.1,Todos
65,Yahoo Mail: buzón de correo personalizado,https://play.google.com/store/apps/details?id=com.yahoo.mobile.client.android.mail,4.5,5428451,Comunicación,20 de mayo de 2021,0.0,100000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
66,LINE: Llama y mensajea gratis,https://play.google.com/store/apps/details?id=jp.naver.line.android,4.1,12907630,Comunicación,19 de mayo de 2021,0.0,500000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
67,Viber Messenger,https://play.google.com/store/apps/details?id=com.viber.voip,4.3,14872045,Comunicación,10 de mayo de 2021,0.0,500000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
68,imo videollamadas y mensajería,https://play.google.com/store/apps/details?id=com.imo.android.imoim,4.1,6871895,Comunicación,20 de mayo de 2021,0.0,500000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
69,Skype:mensajes instantáneos y videollamada gratis,https://play.google.com/store/apps/details?id=com.skype.raider,4.3,11359383,Comunicación,18 de mayo de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
70,"OmeTV Video Chat  – Conocer gente, haz amigos",https://play.google.com/store/apps/details?id=omegle.tv,4.0,418199,Social,18 de mayo de 2021,34.0,50000000,605032,4.1,Para mayores de 17 años
71,"AliExpress - Compra fácil, vive mejor",https://play.google.com/store/apps/details?id=com.alibaba.aliexpresshd,4.6,11663548,Compras,13 de mayo de 2021,99.0,100000000,8.28.0,5.0,Adolescentes
72,Mercado Libre: compra fácil y rápido,https://play.google.com/store/apps/details?id=com.mercadolibre,4.8,12087595,Compras,20 de mayo de 2021,21.0,100000000,10.157.4,4.4,Todos
73,Wish - ¡Que sigan las ofertas!,https://play.google.com/store/apps/details?id=com.contextlogic.wish,4.6,12734443,Compras,19 de mayo de 2021,24.0,500000000,4.47.5,5.0,Adolescentes
74,Amazon compras,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping,4.6,2221780,Compras,7 de mayo de 2021,0.0,100000000,22.10.6.100,7.0,Adolescentes
75,SHEIN - HOT SALE Mega rebajas,https://play.google.com/store/apps/details?id=com.zzkko,4.7,2186212,Compras,18 de mayo de 2021,63.0,100000000,7.5.8,5.0,Adolescentes
76,Lazada -  Online Shopping App,https://play.google.com/store/apps/details?id=com.lazada.android,4.4,8969168,Compras,17 de mayo de 2021,67.0,100000000,6.73.1,4.4,Todos
